"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1"
"1","miRNA_ID","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin"
"42","hsa-mir-1-2","0","2.60578","0","0","0","0","23.766005","16.93439","0.777879","9.120752","0.495394","1.75756","9.004246","22.546966","0.378153","1.309112","77.381313","0.151666","1.51461","0","0","19.259802","6.117982","0.9408","6.226534","1.585139","0","3.117951","3.864406","1.920772","4.538512","1.039632","2.724265","0.595327","0","1.430244","0.288173","0.533817","0.530519","0.509608","0.365123","0.609461","6.441221","1.982986","1.009008","1.277739"
"43","hsa-mir-1200","0","0","0","0.197956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","hsa-mir-122","1.079228","0.689765","0","0","0","0","0","0","0.155576","0","0.660525","1.171707","0","0","0.56723","0","0","0","0","0.734361","0","0.067107","0","1.2544","0","0.594427","3.201872","0","0","0","0","0","0.069853","0.198442","0","0","0","0","0","1.528824","0","0","0.460087","0","0.56056","0.159717"
"52","hsa-mir-1224","0","0.306562","0","9.303931","1.106109","0.781105","1.613741","0","0.622303","0.253354","0.495394","0.585853","0","1.198148","0.189077","0","0","0","0","0.36718","1.977982","0","0.382374","0.6272","0","0","0","0.85035","0.644068","0","0.825184","0.445556","0.698529","0","0","0","0.576345","0","0","0.509608","0.365123","0.304731","0","0.660995","0","0"
"53","hsa-mir-1225","0","0","0","0.197956","0","0","0","0","0.155576","0","0","0","0","0.108923","0","0","0.323771","0","0","0","0","0","0","0.3136","0","0","1.067291","0.28345","0","0.112987","0","0","0.209559","0","0","0.953496","0","0","1.591557","0","0","0.152365","0","0.660995","0","0"
"54","hsa-mir-1226","10.792283","1.456171","1.936528","2.177516","2.686264","17.96541","0.586815","4.576862","2.800365","1.520125","4.293415","6.444386","1.520197","1.089225","4.348761","3.021027","1.780742","1.516656","10.602269","3.18223","3.236698","2.080327","1.911869","2.8224","2.241552","0.594427","8.004679","1.984151","2.57627","4.745436","2.888144","8.762611","13.55147","6.548599","2.286934","2.38374","8.645177","0.667272","1.591557","7.644118","2.73842","2.590211","6.441221","3.965972","2.466464","5.110956"
"55","hsa-mir-1227","0","0.153281","0","0.197956","0","0","0.146704","0","0","0","0","0","0","0.108923","1.134459","0.100701","0","0.758328","3.02922","0.122393","0","0.067107","0.191187","0","0","0","0","0","0","0.225973","0.825184","0.297038","0.558824","0","0","0","0.288173","0","0","0","0","0","0.460087","0","0","0"
"56","hsa-mir-1228","0","0.536484","0","0","0.948093","0","0.146704","0.915372","0","0.253354","1.155919","0","0.116938","0","0","0","0.161886","0","0","0.244787","0.53945","0.402644","0","3.763199","7.222779","0.198142","3.201872","5.385552","1.932203","1.468825","9.489615","6.683347","5.448529","2.381309","1.905778","5.244228","8.645177","0.400363","1.061038","9.68255","4.381472","0.761827","4.600872","1.321991","0.672672","0.319435"
"57","hsa-mir-1229","1.079228","0.076641","0.553294","0.593868","0.158016","9.373257","0","0","0.311152","0.506708","0.165131","0","0.116938","0","1.512612","0.201402","0","0.606662","1.51461","1.468722","0.359633","1.00661","0.382374","1.568","0.249061","0.594427","4.802807","0.28345","0","0.451946","4.12592","3.564452","2.86397","1.984424","0.381156","3.813984","14.408628","0","0","9.68255","2.373297","0.304731","8.741657","1.321991","0.448448","0.479152"
